device,indication,drug,approval,approval_date
"FoundationOne Liquid CDx (Foundation Medicine, Inc.)",Non-Small Cell Lung Cancer (NSCLC) - Plasma,Rozlytrek (entrectinib) NDA 212725,P190032/S004 (12/22/2022),2022-12-22
"FoundationOne Liquid CDx (Foundation Medicine, Inc.)",Solid Tumors - Plasma,Rozlytrek (entrectinib) NDA 212725,P190032/S004 (12/22/2022),2022-12-22
"Guardant360 CDx (Guardant Health, Inc.)",Breast Cancer - Plasma,Orserdu (elacestrant) NDA 217639,P200010/S010 (01/27/2023),2023-01-27
"Ventana PD-L1 (SP263) Assay (Ventana Medical Systems, Inc.)",Non-Small Cell Lung Cancer (NSCLC) – Tissue,Libtayo (cemiplimab-rwlc) – BLA 761097,P160046/S013 (03/01/2023),2023-03-01
"xT CDx (Tempus Labs, Inc.)",Colorectal Cancer (CRC) - Tissue (Matching Blood/Saliva),Erbitux (cetuximab) BLA 125084,P210011 (04/28/2023),2023-04-28
"xT CDx (Tempus Labs, Inc.)",Colorectal Cancer (CRC) - Tissue (Matching Blood/Saliva),Vectibix (panitumumab) BLA 125147,P210011 (04/28/2023),2023-04-28
"FoundationOne Liquid CDx (Foundation Medicine, Inc.)",Metastatic Colorectal Cancer (mCRC) - Plasma,BRAFTOVI (encorafenib) NDA 210496 in combination with cetuximab BLA 125084,P190032/S010 (06/08/2023),2023-06-08
therascreen PDGFRA RGQ PCR Kit (QIAGEN GmbH),Gastrointestinal Stromal Tumors (GIST) - Tissue,AYVAKIT (Avapritinib) NDA 212608,P210002 (06/29/2023),2023-06-29
AAV5 DetectCDx (ARUP Laboratories),Hemophilia A Patients - Plasma,ROCTAVIAN (valoctocogene roxaparvovec-rvox) BLA 125720,P190033 (06/29/2023),2023-06-29
"LeukoStrat CDx FLT3 Mutation Assay (Invivoscribe Technologies, Inc.)",Acute Myelogenous Leukemia (AML) - Peripheral Blood or Bone Marrow,VANFLYTA (quizartinib) NDA 216993,P160040/S011 (07/20/2023),2023-07-20
"FoundationOne CDx (Foundation Medicine, Inc.)",Prostate Cancer - Tissue,AKEEGA (niraparib + abiraterone acetate) NDA 216793,P170019/S042 (08/11/2023),2023-08-11
"CRCDx RAS Mutation Detection Assay Kit (EntroGen, Inc.)",Colorectal Cancer (CRC) - Tissue,Vectibix (panitumumab) BLA 125147,P220005 (09/29/2023),2023-09-29
Oncomine Dx Target Test (Life Technologies Corporation),Anaplastic Thyroid Cancer (ATC) - Tissue,Tafinlar (dabrafenib) NDA 202806 in combination with Mekinist (trametinib) NDA 204114,P160045/S025 (09/29/2023),2023-09-29
"FoundationOne CDx (Foundation Medicine, Inc.)",Solid Tumors - Tissue,RETEVMO (selpercatinib) NDA214246,P170019/S043 (10/06/2023),2023-10-06
"FoundationOne CDx (Foundation Medicine, Inc.)",Non-Small Cell Lung Cancer (NSCLC) - Tissue,BRAFTOVI (encorafenib) NDA210496 in combination with MEKTOVI (binimetinib) NDA210498,P170019/S039 (10/11/2023),2023-10-11
"FoundationOne Liquid CDx (Foundation Medicine, Inc.)",Non-Small Cell Lung Cancer (NSCLC) - Plasma,BRAFTOVI (encorafenib) NDA210496 in combination with MEKTOVI (binimetinib) NDA210498,P190032/S011 (10/11/2023),2023-10-11
"Abbott RealTime IDH1 (Abbott Molecular, Inc.)",Myelodysplastic Syndromes (MDS) - Peripheral Blood or Bone Marrow,Tibsovo (ivosidenib) NDA 211192,P170041/S007 (10/24/2023),2023-10-24
"PD-L1 IHC 22C3 pharmDx (Dako North America, Inc.)",Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma - Tissue,Keytruda (pembrolizumab) BLA 125514,P150013/S027 (11/07/2023),2023-11-07
"FoundationOne CDx (Foundation Medicine, Inc.)",Breast Cancer - Tissue,TRUQAP (capivasertib) NDA218197 in combination with FASLODEX (fulvestrant) NDA021344,P170019/S048 (11/16/2023),2023-11-16
nAbCyte Anti-AAVRh74var HB-FE Assay (Labcorp Drug Development),Moderate to severe Hemophilia B patients - Serum,BEQVEZ (fidanacogene elaparvovec) BLA 125786,H230005 (04/25/2024),2024-04-25
"therascreen KRAS RGQ PCR Kit (Qiagen Manchester, Ltd.)",Colorectal Cancer - Tissue,Krazati (adagrasib) in combination with Erbitux (cetuximab) – NDA 216340,P110027/S017 (06/21/2024),2024-06-21
"FoundationOne Liquid CDx (Foundation Medicine, Inc.)",Metastatic Castrate Resistant Prostate Cancer (mCRPC) - plasma,AKEEGA (niraparib +abiraterone acetate) NDA 216793,P190032/S014 (06/28/ 2024),2024-06-28
"SeCore CDx HLA Sequencing System (One Lambda, Inc.)",Synovial sarcoma – Whole blood,Tecelra (afamitresgene autoleucel) - BLA 125789,BK241074 (08/01/2024),2024-08-01
"MAGE-A4 IHC 1F9 pharmDx (Agilent Technologies, Inc.)",Synovial sarcoma - Tissue,Tecelra (afamitresgene autoleucel) – BLA 125789,P230016 (08/01/2024),2024-08-01
"TruSight Oncology Comprehensive (Illumina, Inc.)",Solid Tumors - Tissue,Vitrakvi (larotrectinib) NDA 210861,P230011 (08/21/2024),2024-08-21
"TruSight Oncology Comprehensive (Illumina, Inc.)",Non-Small Cell Lung Cancer (NSCLC) – Tissue,Retevmo (selpercatinib) NDA 213246,P230011 (08/21/2024),2024-08-21
"FoundationOne CDx (Foundation Medicine, Inc.)",Metastatic Castrate Resistant Prostate Cancer (mCRPC) - Tissue,Lynparza (olaparib) NDA 208558 in combination with abiraterone,P170019/S052 (08/30/2024),2024-08-30
"FoundationOne Liquid CDx (Foundation Medicine, Inc.)",Metastatic Castrate Resistant Prostate Cancer (mCRPC) - Plasma,Lynparza (olaparib) NDA 208558 in combination with abiraterone,P190032/S016 (08/30/2024),2024-08-30
Oncomine Dx Target Test (Life Technologies Corporation),Astrocytoma and Oligodendroglioma - Tissue,VORANIGO (vorasidenib) – NDA 218784,P160045/S046 (09/18/2024),2024-09-18
"FoundationOne Liquid CDx (Foundation Medicine, Inc.)",Breast Cancer - Plasma,ITOVEBI (inavolisib) NDA 219249 in combination with palbociclib and fulvestrant,P190032/S023 (10/10/2024),2024-10-10
"VENTANA CLDN18 (43-14A) RxDx Assay (Ventana Medical Systems, Inc.)",Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma - Tissue,VYLOY (zolbetuximab) – BLA 761365,P230018 (10/18/2024),2024-10-18
MI Cancer Seek (MCS) (Caris Life Sciences),Breast Cancer - Tissue,Piqray (alpelisib) – NDA 212526,P240010 (11/05/2024),2024-11-05
MI Cancer Seek (MCS) (Caris Life Sciences),Colorectal Cancer - Tissue,Vectibix (panitumumab) – BLA 125147,P240010 (11/05/2024),2024-11-05
MI Cancer Seek (MCS) (Caris Life Sciences),Colorectal Cancer - Tissue,BRAFTOVI (encorafenib) NDA 210496 in combination with ERBITUX (cetuximab) BLA 125084,P240010 (11/05/2024),2024-11-05
MI Cancer Seek (MCS) (Caris Life Sciences),Melanoma - Tissue,Mekinist (trametinib) NDA 204114,P240010 (11/05/2024),2024-11-05
MI Cancer Seek (MCS) (Caris Life Sciences),Solid Tumors - Tissue,Keytruda (pembrolizumab) BLA 125514,P240010 (11/05/2024),2024-11-05
MI Cancer Seek (MCS) (Caris Life Sciences),Solid Tumors - Tissue,Jemperli (dostarlimab-gxly) – BLA 761223,P240010 (11/05/2024),2024-11-05
MI Cancer Seek (MCS) (Caris Life Sciences),Endometrial Carcinoma (EC) - Tissue,Keytruda (pembrolizumab) BLA 125514 in combination with Lenvima (lenvatinib) NDA 206947,P240010 (11/05/2024),2024-11-05
MI Cancer Seek (Caris Life Sciences),Melanoma - Tissue,,P240010 (11/05/2024),2024-11-05
MI Cancer Seek (Caris Life Sciences),Non-Small Cell Lung Cancer (NSCLC) - Tissue,,P240010 (11/05/2024),2024-11-05
"FoundationOne Liquid CDx (Foundation Medicine, Inc.)",Non-Small Cell Lung Cancer (NSCLC) - Plasma,Tepmetko (tepotinib) – NDA 214096,P190032/S015 (11/14/2024),2024-11-14
"PATHWAY anti-Her2/neu (4B5) Rabbit Monoclonal Primary Antibody (Ventana Medical Systems, Inc.)","Biliary Tract Cancer (gallbladder adenocarcinoma, intrahepatic cholangiocarcinoma, and extrahepatic cholangiocarcinoma) - Tissue",Ziihera (zanidatamab-hrii) – BLA 761416,P990081/S054 (11/20/2024),2024-11-20
"Ventana MMR RxDx Panel (Ventana Medical Systems, Inc.)",Endometrial Carcinoma (EC) - Tissue,Imfinzi (durvalumab) BLA 761069,P210001/S013 (12/18/2024),2024-12-18
"therascreen KRAS RGQ PCR Kit (Qiagen Manchester, Ltd.)",Colorectal Cancer – Tissue,Lumakras (sotorasib) NDA 214665 in combination with Vectibix (panitumumab) – BLA 125147,P110027/S018 (01/16/2025),2025-01-16
"FoundationOne CDx (Foundation Medicine, Inc.",Low-Grade Glioma - Tissue,Ojemda (tovorafenib) – NDA 217700 and NDA 218033,P170019/S054 (01/16/2025),2025-01-16
"PATHWAY anti-Her2/neu (4B5) Rabbit Monoclonal Primary Antibody (Ventana Medical Systems, Inc.)",Breast Cancer – Tissue,Enhertu (fam-trastuzumab deruxtecan-nxki) BLA 761139,P990081/S055 (01/27/2025),2025-01-27
INNOVANCE Antithrombin (Siemens Healthcare Diagnostic Products GmbH.),Hemophilia A patients with or without factor VIII inhibitors and Hemophilia B patients with or without IX inhibitors - Plasma,QFITLIA (fitusiran) NDA 219019,K242952 (03/28/2025),2025-03-28
"VENTANA MET (SP44) RxDx Assay (Ventana Medical Systems, Inc. (Roche Tissue Diagnostics)",Non-Small Cell Lung Cancer (NSCLC) - Tissue,Emrelis (telisotuzumab vedotin-tllv) BLA 761384,P240037 (05/14/2025),2025-05-14
ConcizuTrace ELISA (Randox Laboratories Ltd.),Hemophilia A patients with or without factor VIII inhibitors and Hemophilia B patients with or without IX inhibitors - Plasma,Alhemo (concizumab) BLA 761315 and BLA 761428,DEN240035 (05/22/2025),2025-05-22
Oncomine Dx Express Test (Life Technologies Corporation),Non-Small Cell Lung Cancer (NSCLC) - Tissue,Zegfrovy (sunvozertinib) NDA 219839,P240040 (07/02/2025),2025-07-02
Quest Diagnostics AAVrh74 Antibody ELISA CDx (Quest Diagnostics Nichols Institute),Duchenne muscular dystrophy – Serum,ELEVIDYS (delandistrogene moxeparvovec-rokl) BLA 125781,P250002 (07/24/2025),2025-07-24
Vysis ALK Break Apart FISH Probe Kit (Abbott Molecular Inc.),Non-Small Cell Lung Cancer (NSCLC) - Tissue,ENSACOVE (ensartinib) NDA 218171,P110012/S022 (08/05/2025),2025-08-05
Oncomine Dx Target Test (Life Technologies Corporation),Non-Small Cell Lung cancer (NSCLC) - Tissue,HERNEXEOS (zongertinib) NDA 219042,P160045/S049 (08/08/2025),2025-08-08
"MMR IHC Panel pharmDx (Dako Omnis) (Agilent Technologies, Inc.)",Colorectal Cancer (CRC) - Tissue,OPDIVO (nivolumab) alone BLA 125554 or OPDIVO (nivolumab) in combination with YERVOY (ipilimumab) BLA 125377,P250004 (08/15/2025),2025-08-15
"Idylla CDx MSI Test (Biocartis US, Inc.)",Colorectal Cancer (CRC) - Tissue,OPDIVO (nivolumab) alone BLA 125554 or OPDIVO (nivolumab) in combination with YERVOY (ipilimumab) BLA 125377,P250005 (08/15/2025),2025-08-15
KMT2A Breakapart FISH Probe Kit PDx (CDA-LPH013) (Cytocell Limited),Acute Leukemia – Bone Marrow,REVUFORJ (revumenib) NDA 218944,DEN240067 (09/19/2025),2025-09-19
"Guardant360 CDx (Guardant Health, Inc.)",Breast Cancer - Plasma,Imlunestrant (Inluriyo) NDA 218881,P200010/S021 (09/25/2025),2025-09-25
OncoMate MSI Dx Analysis System (Promega Corporation),Endometrial Carcinoma (EC) – Tissue,Keytruda (pembrolizumab) BLA 125514 in combination with Lenvima (lenvatinib) NDA 206947,P240026 (11/05/2025),2025-11-05
Oncomine Dx Target Test (Life Technologies Corporation),Non-Small Cell Lung cancer (NSCLC) - Tissue,HYRNUO (sevabertinib) NDA 219972,P160045/S050 (11/19/2025),2025-11-19
"PATHWAY anti-Her2/neu (4B5) Rabbit Monoclonal Primary Antibody (Ventana Medical Systems, Inc.)",Breast Cancer – Tissue,ENHERTU (fam-trastuzumab deruxtecan-nxki) + PERJETA (pertuzumab) BLA 761139,P990081/S059 (12/15/2025),2025-12-15
"Ventana HER2 Dual ISH DNA Probe Cocktail (Ventana Medical Systems, Inc.)",Breast Cancer – Tissue,ENHERTU (fam-trastuzumab deruxtecan-nxki) + PERJETA (pertuzumab) BLA 761139,P190031/S014 (12/15/2025),2025-12-15
"Guardant360 CDx (Guardant Health, Inc.)",Colorectal Cancer (CRC) - Plasma,BRAFTOVI (encorafenib) NDA 210496 in combination with ERBITUX (cetuximab) BLA 125084,P200010/S026 (01/15/2026),2026-01-15
"PD-L1 IHC 22C3 pharmDx (Agilent Technologies, Inc.)","Epithelial Ovarian, Fallopian Tube Cancer, or Primary Peritoneal Carcinoma (EOC)- Tissue",Keytruda (pembrolizumab) BLA 125514,P150013/S033 (02/10/2026),2026-02-10
"PD-L1 IHC 22C3 pharmDx (Agilent Technologies, Inc.)",Esophageal or Gastroesophageal Junction (GEJ) Carcinoma - Tissue,Keytruda (pembrolizumab) BLA 125514,P150013/S032 (02/11/2026),2026-02-11
"Myriad myChoice CDx (Myriad Genetic Laboratories, Inc.)",Ovarian Cancer-Tissue,Zejula (niraparib) NDA 214876,P190014/S011 (03/10/2026),2026-03-10
"Guardant360 CDx (Guardant Health, Inc.)",Breast Cancer - Plasma,VEPANNU (vepdegestrant) NDA 219835,P200010/S025 (05/01/2026),2026-05-01
"FoundationOne CDx (Foundation Medicine, Inc.)",Non-small cell lung cancer (NSCLC) - Tissue,TEPMETKO® (tepotinib) NDA 214096,P170019/S067 (05/12/2026),2026-05-12
"PATHWAY anti-HER-2/neu (4B5) Rabbit Monoclonal Primary Antibody (PATHWAY anti-HER2 (4B5) antibody) (Ventana Medical Systems, Inc.)",Breast Cancer- Tissue,ENHERTU® (fam-trastuzumab deruxtecan-nxki) BLA 761139,P990081/S058 (05/15/2026),2026-05-15
"VENTANA HER2 Dual ISH DNA Probe Cocktail (Ventana Medical Systems, Inc.)",Breast Cancer- Tissue,ENHERTU® (fam-trastuzumab deruxtecan-nxki) BLA 761139,P190031/S015 (05/15/2026),2026-05-15
"Signatera CDx (Natera, Inc.)",Muscle Invasive Bladder Cancer (MIBC) - Plasma,"TECENTRIQ (atezolizumab), TECENTRIQ HYBREZA (atezolizumab and hyaluronidase-tqjs) BLA 761347",P260004 (05/15/2026),2026-05-15
"Guardant360® Liquid CDx (Guardant Health, Inc.)",Breast cancer - Plasma,ORSERDU™ (elacestrant) NDA 217639,P250027 (05/19/2026),2026-05-19
"Guardant360® Liquid CDx (Guardant Health, Inc.)",Breast Cancer - Plasma,INLURIYO™ (imlunestrant) NDA 218881,P250027 (05/19/2026),2026-05-19
"Guardant360® Liquid CDx (Guardant Health, Inc.)",Colorectal cancer - Plasma,BRAFTOVI (encorafenib) NDA 210496 in combination with cetuximab BLA 125084,P250027 (05/19/2026),2026-05-19
"Guardant360® Liquid CDx (Guardant Health, Inc.)",Non-small cell lung cancer (NSCLC) - Plasma,TAGRISSO® (osimertinib) NDA 208065,P250027 (05/19/2026),2026-05-19
"Guardant360® Liquid CDx (Guardant Health, Inc.)",Non-small cell lung cancer (NSCLC) - Plasma,RYBREVANT® (amivantamab-vmjw) BLA 761210,P250027 (05/19/2026),2026-05-19
"Guardant360® Liquid CDx (Guardant Health, Inc.)",Non-small cell lung cancer (NSCLC) - Plasma,LUMAKRAS™ (sotorasib) NDA 214665,P250027 (05/19/2026),2026-05-19
"Guardant360® Liquid CDx (Guardant Health, Inc.)",Non-small cell lung cancer (NSCLC) - Plasma,ENHERTU® (fam-trastuzumab deruxtecan nxki) BLA 761139,P250027 (05/19/2026),2026-05-19
"FoundationOne CDx (Foundation Medicine, Inc.)",Metastatic Castrate Resistant Prostate cancer (mCRPC)-Tissue,TALZENNA (talazoparib) in combination with XTANDI (enzalutamide) NDA 211651/S010,P170019/S060 (05/27/2026),2026-05-27
"FoundationOne Liquid CDx (Foundation Medicine, Inc.)",Metastatic Castrate Resistant Prostate cancer (mCRPC)-Plasma,TALZENNA (talazoparib) in combination with XTANDI (enzalutamide) NDA 211651/S010,P190032/S029 (05/27/2026),2026-05-27
"FoundationOne CDx (Foundation Medicine, Inc.)",Breast Cancer - Plasma,ITOVEBI (inavolisib) NDA 219249 in combination with palbociclib and fulvestrant,P170019/S062 (05/27/2026),2026-05-27
"Guardant360 CDx (Guardant Health, Inc.)",Non-small cell lung cancer (NSCLC) - Plasma,HERNEXEOS (zongertinib) NDA 219042,P200010/S027 (06/10/2026),2026-06-10
"VENTANA PTEN (SP218) RxDx Assay (Ventana Medical Systems, Inc.) (Roche Tissue Diagnostics)",Metastatic hormone-sensitive prostate cancer (mHSPC) - Tissue,TRUQAP (Capivasertib) NDA 218197,P250031 (06/12/2026),2026-06-12
"PD-L1 IHC 28-8 pharmDx (Agilent Technologies, Inc.)","Esophageal squamous cell carcinoma (ESCC), and gastric, gastroesophageal junction (GEJ), and esophageal adenocarcinoma -Tissues",OPDIVO (nivolumab) or OPDIVO QVANTIGTM (hyaluronidase-nvhy) BLA 125554,P150025/S018 (07/01/2026),2026-07-01
